time;T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td
20.03.2020 23:30;-9.0;758.6;760.5;79;СЗ;2;;;;Рассеянная (40-50%) 480 м, кучево-дождевые облака;10.0 и более;-12.0
20.03.2020 23:00;-10.0;758.6;760.5;85;СЗ;1;;;;Рассеянная (40-50%) 480 м, кучево-дождевые облака;10.0 и более;-12.0
20.03.2020 22:30;-9.0;758.6;760.5;86;СЗ;2;;;;Рассеянная (40-50%) 390 м, кучево-дождевые облака;10.0 и более;-11.0
20.03.2020 22:00;-10.0;758.6;760.5;92;СЗ;2;;;;Рассеянная (40-50%) 390 м, кучево-дождевые облака;10.0 и более;-11.0
20.03.2020 21:30;-7.0;758.6;760.5;86;СЗ;2;;;;Рассеянная (40-50%) 390 м, кучево-дождевые облака;10.0 и более;-9.0
20.03.2020 21:00;-6.0;758.7;760.5;86;СЗ;3;;Слабый(ая)(ые) ливень (ливни), снег;;Разорванная (60-90%) 300 м, кучево-дождевые облака;6.0;-8.0
20.03.2020 20:30;-6.0;758.7;760.5;74;СЗ;2;;Слабый(ая)(ые) ливень (ливни), снег;;Разорванная (60-90%) 210 м, кучево-дождевые облака;9.0;-10.0
20.03.2020 20:00;-6.0;758.7;760.5;74;СЗ;3;;Ливень (ливни), снег;;Сплошная (100%) 150 м, кучево-дождевые облака;5.0;-10.0
20.03.2020 19:30;-6.0;758.7;760.5;68;СЗ;3;;;;Разорванная (60-90%) 600 м, кучево-дождевые облака;10.0 и более;-11.0
20.03.2020 19:00;-6.0;757.9;759.7;74;СЗ;3;;Слабый(ая)(ые) ливень (ливни), снег;;Разорванная (60-90%) 270 м, кучево-дождевые облака;9.0;-10.0
20.03.2020 18:30;-6.0;758.7;760.5;68;СЗ;4;;Слабый(ая)(ые) ливень (ливни), снег;;Разорванная (60-90%) 780 м, кучево-дождевые облака;10.0 и более;-11.0
20.03.2020 18:00;-5.0;757.9;759.7;63;СЗ;4;;Слабый(ая)(ые) ливень (ливни), снег;;Разорванная (60-90%) 540 м, кучево-дождевые облака;8.0;-11.0
20.03.2020 17:30;-5.0;757.9;759.7;63;СЗ;6;;Поземок, снег;;Рассеянная (40-50%) 780 м;10.0 и более;-11.0
20.03.2020 17:00;-5.0;757.9;759.7;68;СЗ;7;;Поземок, снег;;Разорванная (60-90%) 750 м;10.0 и более;-10.0
20.03.2020 16:30;-5.0;757.9;759.7;68;СЗ;6;;Поземок, снег;;Рассеянная (40-50%) 900 м;9.0;-10.0
20.03.2020 16:00;-5.0;757.2;759.0;68;СЗ;6;11;Поземок, снег;;Рассеянная (40-50%) 900 м;10.0 и более;-10.0
20.03.2020 15:30;-5.0;757.2;759.0;68;СЗ;7;;Поземок, снег;;Рассеянная (40-50%) 780 м;10.0 и более;-10.0
20.03.2020 15:00;-5.0;757.2;759.0;74;СЗ;6;11;;;Рассеянная (40-50%) 780 м;10.0 и более;-9.0
20.03.2020 14:30;-4.0;757.2;759.0;69;СЗ;7;;;;Рассеянная (40-50%) 780 м;10.0 и более;-9.0
20.03.2020 14:00;-4.0;756.4;758.2;69;СЗ;6;;;;Разорванная (60-90%) 600 м;10.0 и более;-9.0
20.03.2020 13:30;-4.0;756.4;758.2;74;СЗ;6;;;;Разорванная (60-90%) 600 м;10.0 и более;-8.0
20.03.2020 13:00;-3.0;756.4;758.2;69;СЗ;6;;;;Рассеянная (40-50%) 600 м;10.0 и более;-8.0
20.03.2020 12:30;-4.0;756.4;758.2;74;СЗ;6;;;;Разорванная (60-90%) 630 м;10.0 и более;-8.0
20.03.2020 12:00;-4.0;755.9;757.7;74;СЗ;5;;;;Рассеянная (40-50%) 780 м;10.0 и более;-8.0
20.03.2020 11:30;-3.0;755.9;757.7;69;СЗ;4;;;;Незначительная (10-30%) 900 м;10.0 и более;-8.0
20.03.2020 11:00;-3.0;755.9;757.7;74;СЗ;3;;;;Незначительная (10-30%) 900 м;10.0 и более;-7.0
20.03.2020 10:30;-4.0;755.1;756.9;80;СЗ;4;;;;Незначительная (10-30%) 900 м;10.0 и более;-7.0
20.03.2020 10:00;-4.0;755.1;756.9;80;СЗ;3;;;;Незначительная (10-30%) 900 м;10.0 и более;-7.0
20.03.2020 9:30;-4.0;755.1;756.9;80;СЗ;3;;;;Рассеянная (40-50%) 900 м;10.0 и более;-7.0
20.03.2020 9:00;-5.0;754.4;756.2;86;СЗ;3;;;;Рассеянная (40-50%) 900 м;10.0 и более;-7.0
20.03.2020 8:30;-5.0;754.4;756.2;86;СЗ;3;;;;Разорванная (60-90%) 780 м, кучево-дождевые облака;10.0 и более;-7.0
20.03.2020 8:00;-5.0;754.4;756.2;93;С;3;;Слабый(ая)(ые) ливень (ливни), снег;;Сплошная (100%) 630 м, кучево-дождевые облака;8.0;-6.0
20.03.2020 7:30;-5.0;753.6;755.4;93;С;3;;Слабый(ая)(ые) ливень (ливни), снег;;Сплошная (100%) 210 м, кучево-дождевые облака;5.0;-6.0
20.03.2020 7:00;-5.0;753.6;755.4;86;С;3;;Ливень (ливни), снег;;Сплошная (100%) 120 м, кучево-дождевые облака;01.сен;-7.0
20.03.2020 6:30;-5.0;752.8;754.6;86;СВ;3;;Слабый(ая)(ые) ливень (ливни), снег;;Сплошная (100%) 180 м, кучево-дождевые облака;02.июн;-7.0
20.03.2020 6:00;-6.0;752.1;753.9;93;СВ;3;;Ливень (ливни), снег;;Сплошная (100%) 120 м, кучево-дождевые облака;2.0;-7.0
20.03.2020 5:30;-6.0;752.1;753.9;93;СВ;5;;Сильный(ая)(ые) ливень (ливни), снег;;Вертикальная видимость 90 м;1.0;-7.0
20.03.2020 5:00;-6.0;751.3;753.1;93;СВ;6;;Сильный(ая)(ые) ливень (ливни), снег;;Вертикальная видимость 90 м;1.0;-7.0
20.03.2020 4:30;-5.0;751.3;753.1;93;СВ;6;;Ливень (ливни), снег;;Вертикальная видимость 90 м;1.0;-6.0
20.03.2020 4:00;-4.0;750.5;752.3;93;В;6;;Ливень (ливни), снег;;Сплошная (100%) 150 м, кучево-дождевые облака;01.сен;-5.0
20.03.2020 3:30;-4.0;750.5;752.3;93;В;5;;Сильный(ая)(ые) ливень (ливни), снег;;Вертикальная видимость 60 м;0.9;-5.0
20.03.2020 3:00;-3.0;750.5;752.3;93;СВ;4;;Сильный(ая)(ые) ливень (ливни), снег;;Вертикальная видимость 60 м;0.6;-4.0
20.03.2020 2:30;-2.0;750.5;752.3;93;В;3;;Слабый(ая)(ые) ливень (ливни), снег;;Сплошная (100%) 120 м, кучево-дождевые облака;02.мар;-3.0
20.03.2020 2:00;-2.0;750.5;752.3;93;П;1;;Ливень (ливни), снег;;Сплошная (100%) 120 м, кучево-дождевые облака;01.авг;-3.0
20.03.2020 1:30;-2.0;749.8;751.6;100;ЮВ;1;;Сильный(ая)(ые) ливень (ливни), снег;;Вертикальная видимость 90 м;0.4;-2.0
20.03.2020 1:00;-2.0;749.8;751.6;93;ЮВ;1;;Слабый(ая)(ые) ливень (ливни), снег;;Сплошная (100%) 120 м, кучево-дождевые облака;02.янв;-3.0
20.03.2020 0:30;-2.0;749.8;751.6;93;ЮВ;1;;;;Разорванная (60-90%) 480 м;10.0 и более;-3.0
20.03.2020 0:00;-2.0;749.8;751.6;93;ЮВ;1;;;;Разорванная (60-90%) 450 м;6.0;-3.0
